color,director_name,duration,gross,movie_title,budget,imdb_score,actors,movie_facebook_likes,country_USA,country_australia,country_canada,country_czech republic,country_france,country_germany,country_india,country_kyrgyzstan,country_new zealand,country_uk,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,History,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,language_English,title_year_2010,title_year_2011,title_year_2012,title_year_2013,title_year_2014,title_year_2015,title_year_2016
True,Martin Scorsese,1.0,0.18750290710245301,The Wolf of Wall Street,0.4,0.9318181818181817,"Leonardo DiCaprio,Matthew McConaughey,Jon Favreau",0.3954154727793696,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
True,Shane Black,0.8125,0.656193956577882,Iron Man 3,0.8,0.8181818181818181,"Robert Downey Jr.,Jon Favreau,Don Cheadle",0.2722063037249284,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
True,Quentin Tarantino,0.7791666666666667,0.08682491068490011,The Hateful Eight,0.176,0.8977272727272727,"Craig Stark,Jennifer Jason Leigh,Zoë Bell",0.32664756446991405,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,False
True,Kenneth Lonergan,0.775,7.459734596424997e-05,Margaret,0.056,0.7386363636363635,"Matt Damon,Kieran Culkin,John Gallagher Jr.",0.20816618911174786,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
True,Peter Jackson,0.775,0.4145095972481831,The Hobbit: The Desolation of Smaug,0.9,0.8977272727272727,"Aidan Turner,Adam Brown,James Nesbitt",0.23782234957020057,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
True,Edward Hall,0.75,0.24738727913804828,Restless,0.41942809894736843,0.8181818181818181,"Rufus Sewell,Hayley Atwell,Charlotte Rampling",0.0012435530085959886,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
True,Joss Whedon,0.7208333333333333,1.0,The Avengers,0.88,0.9204545454545453,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",0.3524355300859599,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
True,Tom Tykwer,0.7166666666666667,0.043477409342938055,Cloud Atlas,0.408,0.8522727272727272,"Tom Hanks,Jim Sturgess,Jim Broadbent",0.3553008595988539,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
True,Christopher Nolan,0.7041666666666667,0.3016165698118119,Interstellar,0.66,0.9772727272727272,"Matthew McConaughey,Anne Hathaway,Mackenzie Foy",1.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,F. Gary Gray,0.6958333333333333,0.2583580205303929,Straight Outta Compton,0.112,0.8977272727272727,"Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor",0.2177650429799427,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,Richard Linklater,0.6875,0.04068671934136161,Boyhood,0.016,0.9090909090909091,"Ellar Coltrane,Lorelei Linklater,Libby Villari",0.2636103151862464,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Michael Bay,0.6875,0.39376895677277857,Transformers: Age of Extinction,0.84,0.6477272727272727,"Bingbing Li,Sophia Myles,Kelsey Grammer",0.16045845272206305,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,Christopher Nolan,0.6833333333333333,0.718988203859672,The Dark Knight Rises,1.0,0.9659090909090908,"Tom Hardy,Christian Bale,Joseph Gordon-Levitt",0.4699140401146132,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,Peter Jackson,0.6833333333333333,0.40930008248770594,The Hobbit: The Battle of the Five Armies,1.0,0.8522727272727272,"Aidan Turner,Adam Brown,James Nesbitt",0.18624641833810887,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Tom Hooper,0.6583333333333333,0.23869780536854357,Les Misérables,0.244,0.8636363636363635,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",0.41260744985673353,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
True,Kathryn Bigelow,0.6541666666666667,0.1535758977825082,Zero Dark Thirty,0.16,0.8409090909090908,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",0.11174785100286533,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,Ridley Scott,0.65,0.16881628076269925,Robin Hood,0.8,0.7613636363636364,"Mark Addy,William Hurt,Scott Grimes",0.04871060171919771,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,Michael Bay,0.6416666666666667,0.5653302449855618,Transformers: Dark of the Moon,0.78,0.7159090909090908,"Glenn Morshower,Lester Speight,Kevin Dunn",0.1318051575931232,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
True,Denis Villeneuve,0.6375,0.09780984839536215,Prisoners,0.184,0.9204545454545453,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",0.24641833810888253,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
True,Gnana Rajasekaran,0.6375,0.24738727913804828,Ramanujan,0.41942809894736843,0.7954545454545454,"Mani Bharathi,Michael Lieber,Kevin McGowan",0.000166189111747851,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Marc Webb,0.6375,0.4204063237133626,The Amazing Spider-Man,0.92,0.7954545454545454,"Emma Stone,Andrew Garfield,Chris Zylka",0.16045845272206305,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
True,Nan,0.6291666666666667,0.36649845819503524,The Martian,0.432,0.9204545454545453,"Matt Damon,Donald Glover,Benedict Wong",0.4383954154727794,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
True,Ridley Scott,0.625,0.10429837672821951,Exodus: Gods and Kings,0.56,0.6931818181818181,"Christian Bale,María Valverde,Ben Mendelsohn",0.14613180515759314,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Mike Leigh,0.625,0.006351082783083848,Mr. Turner,0.41942809894736843,0.7727272727272726,"Lesley Manville,Ruth Sheen,Karl Johnson",0.20816618911174786,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,David Fincher,0.6208333333333333,0.2691174398507898,Gone Girl,0.244,0.9204545454545453,"Patrick Fugit,Sela Ward,Emily Ratajkowski",0.4183381088825215,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
True,Bryan Singer,0.6208333333333333,0.37529706714409483,X-Men: Days of Future Past,0.8,0.9090909090909091,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",0.2349570200573066,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False
True,Jay Oliva,0.6166666666666667,0.24738727913804828,"Batman: The Dark Knight Returns, Part 2",0.014,0.9545454545454545,"Michael Emerson,Mark Valley,Grey Griffin",0.014326647564469915,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
True,Christopher Nolan,0.6166666666666667,0.4694022969439746,Inception,0.64,1.0,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",0.501432664756447,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False
True,Paul Thomas Anderson,0.6166666666666667,0.012985053077636125,Inherent Vice,0.08,0.7613636363636364,"Martin Dew,Katherine Waterston,Serena Scott Thomas",0.05157593123209169,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Sam Mendes,0.6166666666666667,0.32100231102240867,Spectre,0.98,0.7727272727272726,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",0.24355300859598855,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
True,Michael Patrick King,0.6083333333333333,0.15294732108384104,Sex and the City 2,0.4,0.4886363636363636,"Chris Noth,Liza Minnelli,Kristin Davis",0.20816618911174786,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
True,Tate Taylor,0.6083333333333333,0.272278446833103,The Help,0.1,0.9204545454545453,"Emma Stone,Bryce Dallas Howard,Mike Vogel",0.2148997134670487,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
True,Francis Lawrence,0.6083333333333333,0.6813083776676535,The Hunger Games: Catching Fire,0.52,0.8636363636363635,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",0.2349570200573066,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
False,Steven Spielberg,0.6083333333333333,0.12816618062392476,War Horse,0.264,0.8181818181818181,"Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan",0.08022922636103152,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
True,Michael Bay,0.6,0.08474915991427519,13 Hours,0.2,0.8409090909090908,"Toby Stephens,James Badge Dale,David Costabile",0.12607449856733524,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True
True,Guillaume Canet,0.6,6.614848858501048e-05,Blood Ties,0.102,0.7386363636363635,"Mila Kunis,Lili Taylor,Billy Crudup",0.20816618911174786,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
True,Paul Thomas Anderson,0.6,0.02627596891126607,The Master,0.128,0.8068181818181818,"Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild",0.07736389684813753,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
True,Bryan Singer,0.6,0.2486606334925988,X-Men: Apocalypse,0.712,0.8295454545454545,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",0.15472779369627507,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
True,Adam McKay,0.5958333333333333,0.0034901065027246915,Anchorman 2: The Legend Continues,0.2,0.7159090909090908,"Harrison Ford,Will Ferrell,Steve Carell",0.1174785100286533,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
True,Zack Snyder,0.5958333333333333,0.46691980572884095,Man of Steel,0.9,0.8181818181818181,"Henry Cavill,Christopher Meloni,Harry Lennix",0.33810888252148996,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
True,Sam Mendes,0.5958333333333333,0.4883206555789645,Skyfall,0.8,0.8863636363636362,"Albert Finney,Helen McCrory,Rory Kinnear",0.22922636103151864,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,Baz Luhrmann,0.5958333333333333,0.23234004179508236,The Great Gatsby,0.42,0.8295454545454545,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",0.32951289398280803,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
True,Steven Spielberg,0.5916666666666667,0.11600904497512735,Bridge of Spies,0.16,0.8636363636363635,"Tom Hanks,Mark Rylance,Amy Ryan",0.15759312320916904,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
True,Marc Webb,0.5916666666666667,0.3254622006712503,The Amazing Spider-Man 2,0.8,0.7613636363636364,"Emma Stone,Andrew Garfield,B.J. Novak",0.1174785100286533,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,Joss Whedon,0.5875,0.7364137026623786,Avengers: Age of Ultron,1.0,0.8522727272727272,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",0.33810888252148996,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
True,Timur Bekmambetov,0.5875,0.24738727913804828,Ben-Hur,0.4,0.6931818181818181,"Morgan Freeman,Ayelet Zurer,Moises Arias",0.20816618911174786,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,Justin Chadwick,0.5875,0.013356363192196968,Mandela: Long Walk to Freedom,0.14,0.8068181818181818,"Terry Pheto,Fana Mokoena,Tony Kgoroge",0.03724928366762178,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
True,Oliver Stone,0.5875,0.07590101460524903,Savages,0.18,0.7386363636363635,"Demián Bichir,Shea Whigham,Gary Stretch",0.08022922636103152,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,David Dobkin,0.5875,0.07557617641510704,The Judge,0.2,0.8409090909090908,"Robert Downey Jr.,Robert Duvall,Leighton Meester",0.1346704871060172,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Ryan Murphy,0.5833333333333334,0.12927427249590143,Eat Pray Love,0.24,0.6477272727272727,"James Franco,Julia Roberts,Billy Crudup",0.07449856733524356,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
True,James Wan,0.5833333333333334,0.5616005076450872,Furious 7,0.76,0.8181818181818181,"Jason Statham,Paul Walker,Vin Diesel",0.2693409742120344,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
True,Derek Cianfrance,0.5833333333333334,0.03430771650204655,The Place Beyond the Pines,0.06,0.8295454545454545,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",0.1346704871060172,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,Gavin O'Connor,0.5833333333333334,0.0219029519991613,Warrior,0.1,0.9318181818181817,"Tom Hardy,Frank Grillo,Kevin Dunn",0.22063037249283668,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
True,Gary Ross,0.5791666666666667,0.032713999838663084,Free State of Jones,0.2,0.7613636363636364,"Matthew McConaughey,Donald Watkins,Jessica Collins",0.02865329512893983,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
True,Tate Taylor,0.5791666666666667,0.04895706933890452,Get on Up,0.12,0.7840909090909091,"Tika Sumpter,Josh Hopkins,Aunjanue Ellis",0.03151862464183381,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Terrence Malick,0.5791666666666667,0.021344064736332508,The Tree of Life,0.128,0.7613636363636364,"Brad Pitt,Tye Sheridan,Fiona Shaw",0.11174785100286533,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
True,Robert Zemeckis,0.575,0.15041276976155935,Flight,0.124,0.8295454545454545,"Denzel Washington,Bruce Greenwood,Nadine Velazquez",0.1833810888252149,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,Darren Aronofsky,0.575,0.16230362360984069,Noah,0.5,0.6590909090909091,"Anthony Hopkins,Emma Watson,Logan Lerman",0.2034383954154728,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Martin Scorsese,0.575,0.20531462265358116,Shutter Island,0.32,0.9204545454545453,"Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto",0.1518624641833811,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False
True,Ridley Scott,0.575,0.02722596960172672,The Counselor,0.1,0.6022727272727272,"Michael Fassbender,Brad Pitt,Goran Visnjic",0.06876790830945559,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
True,James Mangold,0.575,0.21266694958626647,The Wolverine,0.48,0.7613636363636364,"Hugh Jackman,Tao Okamoto,Rila Fukushima",0.19484240687679083,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
True,Daniel Espinosa,0.5708333333333333,0.0019351429158961317,Child 44,0.2,0.7272727272727273,"Tom Hardy,Fares Fares,Michael Nardone",0.05157593123209169,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
True,Walter Salles,0.5708333333333333,0.0011515747684240952,On the Road,0.1,0.6931818181818181,"Kristen Stewart,Viggo Mortensen,Kirsten Dunst",0.07736389684813753,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
True,Angelina Jolie Pitt,0.5708333333333333,0.18547693495868878,Unbroken,0.26,0.13636363636363635,"Finn Wittrock,Jack O'Connell,Alex Russell",0.10028653295128939,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False
True,Seth MacFarlane,0.5666666666666667,0.06837330890307555,A Million Ways to Die in the West,0.16,0.6931818181818181,"Liam Neeson,Charlize Theron,Seth MacFarlane",0.06876790830945559,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
True,Anthony Russo,0.5666666666666667,0.41674230969109594,Captain America: The Winter Soldier,0.68,0.8863636363636362,"Scarlett Johansson,Chris Evans,Hayley Atwell",0.15759312320916904,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,Rob Marshall,0.5666666666666667,0.3867668627348685,Pirates of the Caribbean: On Stranger Tides,1.0,0.7613636363636364,"Johnny Depp,Sam Claflin,Stephen Graham",0.166189111747851,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
True,Adam Shankman,0.5666666666666667,0.06178502436884874,Rock of Ages,0.3,0.6704545454545454,"James Martin Kelly,Shane Hartline,Celina Beach",0.09455587392550144,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
True,Sadyk Sher-Niyaz,0.5625,0.24738727913804828,Queen of the Mountains,0.0056,0.9886363636363634,"Elina Abai Kyzy,Aziz Muradillayev,Mirlan Abdulayev",0.20816618911174786,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,Tony Gilroy,0.5625,0.18156481396621219,The Bourne Legacy,0.5,0.7613636363636364,"Jeremy Renner,Scott Glenn,Stacy Keach",0.08882521489971347,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
True,Steve McQueen,0.5583333333333333,0.09091886661892983,12 Years a Slave,0.08,0.9204545454545453,"Quvenzhané Wallis,Scoot McNairy,Taran Killam",0.23782234957020057,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
True,Richard J. Lewis,0.5583333333333333,0.01203537647931194,Barney's Version,0.41942809894736843,0.8295454545454545,"Mark Addy,Atom Egoyan,Paul Gross",0.20816618911174786,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,Paul Greengrass,0.5583333333333333,0.17183438076141458,Captain Phillips,0.22,0.8977272727272727,"Tom Hanks,Chris Mulkey,Michael Chernus",0.18624641833810887,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
True,David Ayer,0.5583333333333333,0.13750991254651262,Fury,0.272,0.8636363636363635,"Brad Pitt,Logan Lerman,Jim Parrack",0.2349570200573066,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
